Harry Potter
Luke Skywalker
Anakin Skywalker
Jack the Ripper
James Bond
Hal Jordan
Batman
Bruce Wayne
Clark Kent
Superman
Green Lantern
Deadpool
Wade Wilson
Logan
Wolverine
Captain America
Steve Rogers
Spider-Man
Peter Parker
Iron Man
Tony Stark
The Hulk
Bruce Banner
Thor
Cyclops
Scott Summers
Aquaman
John Wick
Lucifer Morningstar
Dean Winchester
Sam Winchester
Jon Snow
Castiel
Jaime Lannister
Robb Stark
Daryl Dixon
Barry Allen
Nathan Drake
Leon S. Kennedy
Chris Redfield
Albert Wesker
Jason Todd
Nightwing
Kaiden Alenko from Mass Effect
Commander Shepard from Mass Effect
Garrus Vakarian from Mass Effect
Thane Krios from Mass Effect
James Vega from Mass Effect
Reyes Vidal from Mass Effect
Patrick Bateman from "American Psycho"
Dexter Morgan from "Dexter"
Joe Goldberg from "You"
Rick Grimes from "The Walking Dead"
Negan from "The Walking Dead"
Shane Walsh from "The Walking Dead"
Billy Loomis from "Scream"
Stu Macher from "Scream"
Roman Bridger from "Scream 3"
Ash Williams from "Evil Dead"
Tate Langdon from "American Horror Story"
Kit Walker from "American Horror Story"
Michael Langdon from "American Horror Story"
Billy Hargrove from "Stranger Things"
Steve Harrington from "Stranger Things"
Jonathan Byers from "Stranger Things"
Jim Hopper from "Stranger Things"
Matt Murdock from "Daredevil"
Harvey Specter from "Suits"
Mike Ross from "Suits"
Holden Ford from "Mindhunter"
Javier Peña from "Narcos"
Donald Ressler from "The Blacklist"
Elliot Stabler from "Law & Order: SVU"
Nicholas Brody from "Homeland"
Ray Donovan from "Ray Donovan"
Jimmy Darling from "American Horror Story: Freak Show"
John Lowe from "American Horror Story: Hotel"
Luke Crain from "The Haunting of Hill House"
Henry Wingrave from "The Haunting of Bly Manor"
Dr. Lawrence Gordon from "Saw"
Teddy Daniels from "Shutter Island"
Detective David Mills from "Seven"
Tyler Durden from "Fight Club"
Eric Northman from "True Blood"Ed Warren from "The Conjuring"
Josh Lambert from "Insidious"
Ellison Oswalt from "Sinister"
James Sandin from "The Purge"
Nate Jacobs from "Euphoria"
Christian from "Midsommar"
Adam Stanheight from "Saw"
Mark Hoffman from "Saw"
Rust Cohle from "True Detective"
Marty Hart from "True Detective"
Sherlock Holmes from "Sherlock"
John Watson from "Sherlock"
Joe Carroll from "The Following"
Ryan Hardy from "The Following"
Nick Dunne from "Gone Girl"
Chris Washington from "Get Out"
Gabe Wilson from "Us"
Kevin Garvey from "The Leftovers"
Homelander from "The Boys"
Billy Butcher from "The Boys"
